Station Name -  WRLDC
REPORT FOR VOLTTEMP FROM 25-07-2019 TO 25-07-2019
Timestamp,KSTPS 4B1 KV,VSTPS 4B1 KV,STNA4 4B1 KV,JBLPR 4B1 KV,ITRSI 4B1 KV,KHNDW 4B1 KV,BHDRV 4B1 KV,RAIPR 4B1 KV,JHNOR 4B1 KV,MPUSA 4B1 KV,DGHAM 4B1 KV,STP4 4B1 KV,INDR 4B1 KV,NAG4 4B1 KV,BHP4 4B1 KV,BIN4 4B1 KV,KORAD 4_B1 KV,BHSW4 4_B2 KV,BBLSR 4_B2 KV,PADG4 4_B1 KV,KALW4 4_B1 KV,KARGR 4_B1 KV,LONKD 4_B1 KV,KOYNA 4_B1 KV,KOYN4 4_B1 KV,KARD4 4_B1 KV,KLPR4 4_B1 KV,PARL2 4_B1 KV,CHDPR 4_B1 KV,DHUL4 4_B1 KV,SLPR4 4_B1 KV,ARBD4 4_B1 KV,ASOJ 4B1 KV,CHOR 4B1 KV,JETP 4B1 KV,WTPS 4B1 KV,SOJA 4B1 KV,UKTH 4B1 KV,CLPI 4B1 KV,KSOR 4B1 KV,KNSR 4B1 KV,BHIL4 4B1 KV,KRBW4 4B1 KV,GWALR 4B1 KV,NAG4 4B1 KV,RAJGH 4B1 KV,WARDH 4B1 KV,SEON7 7B1 KV,SIPAT 7B1 KV,AKOL4 4B1 KV,DAMOH 4B1 KV,SGTP 4B1 KV,GWALR 7B1 KV,BINA7 7B1 KV,WARDH 7B1 KV,BLSPR 7B1 KV,INDOR 7B1 KV,STNA7 7B1 KV,SASAN 7B1 KV,KTN4 4B1 KV,BHTPR 4B1 KV,RAIGR 4B1 KV,RAIPR 4B1 KV,JINDL 4B1 KV,BACHU 4B1 KV,CHOR 4B1 KV,KNSR 4B1 KV,AMRL 4B1 KVRY,VRSN 4B1 KV,VADI 4B1 KV,PIRNA 4B1 KV,RGPPL 4B1 KV,SJLPR 4B1 KV,TMNR7 7B1 KV,KOTRA 7B1 KV,DURG7 7B1 KV,VAPI4 4B1 KV,BOISR 4B1 KV,KALA4 4B1 KV,DAMAN 4B1 KV,ARGBD 7B1 KV,HAZRA 4B1 KV,VADOD 7B1 KV,JBPR7 7B1 KV,SOLPR 7B1 KV,TIRO7 7B1 KV,AKOL7 7B1 KV,KORD7 7B1 KV,DHUL7 7B1 KV,BHPL7 7B1 KV,DRMGH 7B1 KV,PUNE7 7B1 KV,CHMPA 7B1 KV,EKTN7 7B1 KV,GDRWD 7B1 KV,REWA4 4B1 KV
25-07-2019 00:00:00,418.31,405.47,403.63,411.49,406.8,416.77,419.11,416.06,413.84,431.42,413.16,415.59,408.7,413.58,406.7,408.18,322.56,419.89,418.45,399.38,420.39,410.7,416.55,426.68,421.88,426.28,424.28,421.95,421.62,428.21,415.82,426.01,410.06,417.09,413.48,411.8,411.43,423.74,417.73,417.61,415.14,410.15,418.41,404.42,413.58,419.49,421.89,786,775.96,420.63,419.04,417.01,779.72,777.26,793.13,776.88,767.36,774.33,769.87,414.04,413,419.78,416.06,413.4,414.76,417.09,415.14,417.97,413.82,416.75,411.49,420.08,409.67,791.48,791.24,787.35,409.73,416.77,413.4,418.14,791.53,415.03,779.37,787.23,796.94,763.81,780.65,769.99,774.69,772.54,778.41,783.48,790.2,781.8,791.37,417.49
25-07-2019 00:01:00,418.31,405.47,403.63,411.49,406.8,416.77,419.11,416.06,414.42,431.42,412.7,415.59,408.77,413.65,406.7,408.04,418.94,419.89,418.94,399.38,420.05,410.7,416.55,426.68,422.37,426.77,424.28,421.95,419.19,428.21,415.82,425.67,410.26,416.9,413.48,411.8,411.24,423.74,417.73,417.78,414.65,410.15,418.55,403.69,413.65,419.49,421.89,786,775.96,420.63,419.01,417.01,779.72,777.26,793.13,776.04,767.05,774.33,770.65,414.15,414,419.87,416.06,413.4,414.76,416.9,414.65,417.97,413.82,416.75,411.49,419.47,410.16,791.7,791.34,787.35,409.73,416.18,413.4,418.14,791.53,415.03,779.37,787.23,797.93,764.51,780.41,769.59,774.69,772.54,778.41,783.17,790.42,781.8,791.37,417.56
25-07-2019 00:02:00,417.52,405.47,403.63,411.49,406.22,416.77,419.11,416.06,413.25,431.42,413.01,415.59,408.44,413.32,406.7,407.27,418.45,415.48,418.45,399.38,420.05,410.7,416.48,425.99,421.88,426.28,424.28,421.95,423.49,428.21,415.82,426.06,409.85,416.71,413.48,411.8,411.04,423.74,417.73,417.45,414.16,410.56,418.41,403.67,413.32,419.49,421.89,785,775.96,419.94,418.86,417.01,779.72,777.26,793.39,775.91,767,774.33,770.65,413.38,414,419.89,416.06,413.4,414.76,416.71,414.16,417.97,413.24,416.75,411.49,419.47,409.68,791.31,791.05,787.35,409.15,416.18,413.4,418.14,791.1,415.03,779.37,787.23,797.09,763.69,780.39,769.33,774.69,772.54,778.41,782.49,791.36,781.8,791.37,417.4
25-07-2019 00:03:00,417.52,405.47,403.63,410.91,406.22,416.18,419.11,416.06,413.25,431.42,412.55,415.59,408.34,413.25,406.7,407.13,418.94,424.84,418.94,399.38,420.74,410.7,416.08,425.99,422.37,427.26,424.28,421.95,418.16,428.21,415.82,425.98,409.65,416.71,413.48,411.8,411.04,423.13,417.73,417.45,414.16,410.15,418.41,403.28,413.25,419.49,421.89,786,775.96,423.65,418.21,417.01,779.72,777.26,792.4,775.74,766.02,774.33,769.86,413.75,413,420.11,416.06,413.4,414.76,416.71,414.16,417.97,413.24,416.75,411.07,419.47,409.18,791.13,790.71,787.35,409.73,416.18,413.4,418.14,791.1,415.03,778.69,787.23,797.11,763.84,780.77,769.47,774.69,772.54,778.41,783.4,790.51,781.8,791.37,417.08
25-07-2019 00:04:00,417.52,404.57,403.63,410.91,405.63,416.18,418.52,415.08,413.25,430.83,412.55,415.59,408.15,412.92,406.7,406.91,418.45,421.46,418.45,399.38,420.74,411.55,416.08,425.99,421.88,426.77,424.28,421.95,422.09,425.82,415.15,425.36,409.65,416.33,412.89,410.87,410.65,423.74,417.73,417.45,413.68,409.74,418.28,402.9,412.92,419.49,421.89,786,775.05,423.59,418.44,417.01,779.72,777.26,791.37,775.26,765.69,774.33,769.86,413.64,412,420.26,415.08,413.4,414.76,416.33,413.68,417.97,413.24,415.58,411.07,419.47,409.18,790.69,790.1,787.35,409.73,416.18,413.4,418.14,790.16,415.03,778.69,787.23,795.71,763.52,780.03,768.74,774.69,772.54,778.41,782.16,789.86,781.8,791.37,416.95
25-07-2019 00:05:00,417.52,404.57,402.63,410.91,405.63,415.59,418.52,415.08,413.25,430.83,412.24,415.59,407.68,412.52,406.7,406.44,418.94,419.62,418.45,399.38,419.85,409.91,415.87,425.99,421.39,426.28,424.28,421.95,423.58,428.28,415.15,425.36,409.24,415.94,412.89,410.87,410.26,423.13,417.73,417.28,413.19,409.74,417.85,402.18,412.52,418.49,421.89,784,775.05,420.8,418.08,416.4,779.72,775.41,789.59,774.33,764.33,774.33,769.06,413.53,413,420.29,415.08,413.4,414.76,415.94,413.19,417.97,413.24,415.58,410.62,418.86,409.18,790.29,789.58,787.35,409.15,415.59,413.4,418.14,789.22,415.03,777.57,787.23,795.37,763.26,779.88,768.13,774.69,772.54,778.41,781.31,788.94,781.8,789.52,416.71
25-07-2019 00:06:00,417.52,404.57,402.63,410.91,405.63,416.18,418.52,416.06,413.25,430.83,411.94,415.59,407.86,412.78,406.7,406.8,418.94,419.62,418.45,399.38,419.85,409.91,415.87,425.99,421.88,426.77,424.28,421.95,414.82,423.28,415.15,425,409.24,416.13,412.89,410.87,410.26,423.13,417.73,417.11,413.19,409.74,418.14,401.86,412.78,418.49,421.89,784,775.05,420.8,418.27,417.01,779.72,775.41,790.44,774.41,765.34,774.33,769.06,413.38,413,420.12,416.06,413.4,414.76,416.13,413.19,417.97,413.24,415.58,410.62,419.47,408.69,790.15,789.57,787.35,409.15,416.18,413.4,418.14,788.72,415.03,777.57,787.23,795.49,763.9,779.01,768.64,774.69,772.54,778.41,781.55,788.68,781.8,789.52,416.98
25-07-2019 00:07:00,417.52,404.57,402.63,410.32,405.63,416.18,418.52,415.08,413.84,430.83,412.24,415.59,407.97,412.78,406.7,406.36,418.94,419.62,418.45,399.38,419.85,410.7,416.14,425.99,421.88,426.77,424.28,421.95,415.29,431.84,415.15,425,409.44,416.33,412.89,410.87,410.45,423.74,417.73,417.45,413.19,409.74,418.28,402.26,412.78,419.49,421.89,784,775.05,418.72,418.16,417.01,779.72,775.41,789.63,774.91,764.66,774.33,769.06,413.16,413,419.83,415.08,413.4,414.76,416.33,413.19,417.97,412.65,415.58,411.05,419.47,408.69,789.93,789.5,787.35,409.73,415.59,413.4,418.14,789.19,415.03,778.86,787.23,794.77,763.73,779.82,768.71,774.69,772.54,778.41,781.89,789.15,781.8,789.52,416.76
25-07-2019 00:08:00,417.52,404.57,402.63,410.32,405.63,415.59,418.52,415.08,413.25,430.83,412.24,415.59,407.83,412.67,406.7,406.4,417.96,419.62,417.47,399.38,419.85,410.7,415.54,425.99,421.39,426.28,424.28,421.63,423.4,429.1,414.41,425.18,409.44,416.13,412.89,410.87,410.26,423.13,417.73,417.45,412.7,409.33,418,401.64,412.67,418.49,421.89,785,775.05,419.48,417.31,417.01,779.72,775.41,789.91,774.05,765.39,774.33,768.29,413.06,412,419.91,415.08,413.4,414.76,416.13,412.7,417.97,412.65,415.58,410.61,418.86,408.69,789.93,789.2,787.35,409.15,415.59,413.4,418.14,789.19,415.03,778.86,787.23,794.37,762.82,779.45,768.11,774.69,772.54,778.41,781.11,788.85,781.8,789.52,416.55
25-07-2019 00:09:00,417.52,404.57,402.63,410.32,405.05,415.59,418.52,415.08,413.25,430.83,411.94,415.59,407.43,412.38,406.7,406.25,418.94,419.62,417.96,399.38,419.09,410.7,415.27,425.99,421.39,426.28,424.28,421.63,421.81,426.23,414.41,424.74,409.03,415.94,412.89,410.87,409.86,423.13,417.73,417.11,412.21,409.33,417.71,401.25,412.38,418.49,421.89,783,774.14,421.95,417.05,416.4,774.52,775.41,788.49,774.93,764.36,774.33,768.29,412.87,412,419.44,415.08,413.4,414.28,415.94,412.21,417.97,412.65,415.58,410.61,419.47,408.69,789.58,789.16,787.35,409.15,415.59,413.4,418.14,788.35,415.03,778.86,787.23,794.51,762.82,778.64,768.13,774.69,772.54,778.41,781.09,789.17,781.8,789.52,416.74
